,Symbol,dummy
0,EURUSD=X,Currency
1,EURGBP=X,Currency
2,EURCHF=X,Currency
3,EURCAD=X,Currency
4,EURCNY=X,Currency
5,EURJPY=X,Currency
6,EURSEK=X,Currency
7,EURHUF=X,Currency
8,GBPUSD=X,Currency
9,GBPCNY=X,Currency
10,GBPJPY=X,Currency
11,USDCHF=X,Currency
12,USDCAD=X,Currency
13,USDCNY=X,Currency
14,USDHKD=X,Currency
15,USDSGD=X,Currency
16,USDINR=X,Currency
17,USDMXN=X,Currency
18,USDPHP=X,Currency
19,USDTHB=X,Currency
20,USDMYR=X,Currency
21,USDZAR=X,Currency
22,USDJPY=X,Currency
23,AUDJPY=X,Currency
24,NZDUSD=X,Currency
0,BTC-USD,Crypto
1,ETH-USD,Crypto
2,BNB-USD,Crypto
3,USDT-USD,Crypto
4,XRP-USD,Crypto
5,ADA-USD,Crypto
6,DOGE-USD,Crypto
7,DOT1-USD,Crypto
8,UNI3-USD,Crypto
9,LTC-USD,Crypto
10,BCH-USD,Crypto
11,LINK-USD,Crypto
12,VET-USD,Crypto
13,USDC-USD,Crypto
14,SOL1-USD,Crypto
15,XLM-USD,Crypto
16,FIL-USD,Crypto
17,THETA-USD,Crypto
18,TRX-USD,Crypto
19,XMR-USD,Crypto
20,LUNA1-USD,Crypto
21,NEO-USD,Crypto
22,EOS-USD,Crypto
23,MIOTA-USD,Crypto
24,BSV-USD,Crypto
0,AAPL,Asset
1,MSFT,Asset
2,AMZN,Asset
3,TSLA,Asset
4,FB,Asset
5,GOOG,Asset
6,GOOGL,Asset
7,NVDA,Asset
8,PYPL,Asset
9,INTC,Asset
10,CMCSA,Asset
11,NFLX,Asset
12,ADBE,Asset
13,CSCO,Asset
14,PEP,Asset
15,AVGO,Asset
16,TXN,Asset
17,TMUS,Asset
18,COST,Asset
19,QCOM,Asset
20,AMGN,Asset
21,SBUX,Asset
22,AMAT,Asset
23,CHTR,Asset
24,INTU,Asset
25,MU,Asset
26,BKNG,Asset
27,AMD,Asset
28,LRCX,Asset
29,ISRG,Asset
30,MDLZ,Asset
31,GILD,Asset
32,FISV,Asset
33,ADP,Asset
34,ZM,Asset
35,MELI,Asset
36,ATVI,Asset
37,CSX,Asset
38,JD,Asset
39,ADSK,Asset
40,BIDU,Asset
41,ILMN,Asset
42,ADI,Asset
43,NXPI,Asset
44,VRTX,Asset
45,KLAC,Asset
46,MRNA,Asset
47,PDD,Asset
48,REGN,Asset
49,KHC,Asset
50,MNST,Asset
51,KDP,Asset
52,MAR,Asset
53,ASML,Asset
54,WBA,Asset
55,WDAY,Asset
56,ROST,Asset
57,ALGN,Asset
58,EXC,Asset
59,MCHP,Asset
60,AEP,Asset
61,EBAY,Asset
62,CTSH,Asset
63,IDXX,Asset
64,BIIB,Asset
65,EA,Asset
66,CDNS,Asset
67,SNPS,Asset
68,LULU,Asset
69,MTCH,Asset
70,DOCU,Asset
71,XEL,Asset
72,CTAS,Asset
73,ORLY,Asset
74,DXCM,Asset
75,PAYX,Asset
76,MRVL,Asset
77,ALXN,Asset
78,PCAR,Asset
79,NTES,Asset
80,XLNX,Asset
81,SWKS,Asset
82,ANSS,Asset
83,PTON,Asset
84,TEAM,Asset
85,VRSK,Asset
86,FAST,Asset
87,OKTA,Asset
88,DLTR,Asset
89,CPRT,Asset
90,SGEN,Asset
91,SIRI,Asset
92,MXIM,Asset
93,CDW,Asset
94,VRSN,Asset
95,SPLK,Asset
96,CERN,Asset
97,TCOM,Asset
98,INCY,Asset
99,CHKP,Asset
100,FOXA,Asset
101,FOX,Asset
